,op1,op2,op3,5-GM Avg Op1,5-GM Avg Op2,5-GM Avg Op3
0,0.0,100.0,0.0,,,
1,50.0,100.0,0.0,,,
2,33.33333333333333,100.0,33.33333333333333,,,
3,50.0,100.0,25.0,,,
4,60.0,100.0,40.0,38.666666666666664,100.0,19.666666666666664
5,66.66666666666666,83.33333333333334,50.0,52.0,96.66666666666667,29.666666666666664
6,71.42857142857143,85.71428571428571,57.14285714285714,56.28571428571429,93.80952380952381,41.095238095238095
7,75.0,87.5,62.5,64.61904761904762,91.30952380952381,46.92857142857143
8,77.77777777777779,88.88888888888889,55.55555555555556,70.17460317460318,89.0873015873016,53.039682539682545
9,80.0,80.0,60.0,74.17460317460318,85.0873015873016,57.039682539682545
10,81.81818181818183,72.72727272727273,54.54545454545454,77.20490620490621,82.96608946608947,57.94877344877345
11,83.33333333333334,66.66666666666666,50.0,79.58585858585859,79.15656565656566,56.52020202020202
12,84.61538461538461,69.23076923076923,46.15384615384615,81.50893550893551,75.5027195027195,53.25097125097125
13,85.71428571428571,71.42857142857143,50.0,83.0962370962371,72.010656010656,52.13986013986014
14,86.66666666666667,66.66666666666666,46.666666666666664,84.42957042957043,69.34398934398934,49.47319347319347
15,87.5,62.5,50.0,85.56593406593406,67.2985347985348,48.56410256410256
16,88.23529411764706,58.82352941176471,47.05882352941176,86.54632622279681,65.7299073475544,47.97586726998492
17,88.88888888888889,61.111111111111114,50.0,87.40102707749767,64.10597572362278,48.745098039215684
18,89.47368421052632,63.1578947368421,47.368421052631575,88.15290677674578,62.45184038527691,48.218782249742006
19,90.0,65.0,50.0,88.81957344341245,62.11850705194358,48.88544891640866
20,90.47619047619048,66.66666666666666,52.38095238095239,89.41481153865054,62.951840385276924,49.361639392599145
21,90.9090909090909,68.18181818181817,54.54545454545454,89.94957089693932,64.82349813928761,50.8589655958077
22,91.30434782608695,69.56521739130434,56.52173913043478,90.43266268437893,66.51431939532627,52.16331342189466
23,91.66666666666666,70.83333333333334,58.333333333333336,90.871259175607,68.0494071146245,54.356295878035006
24,92.0,68.0,56.00000000000001,91.271259175607,68.6494071146245,55.55629587803501
25,88.46153846153845,69.23076923076923,53.84615384615385,90.86832877267659,69.16222762744502,55.8493361710753
26,88.88888888888889,70.37037037037037,55.55555555555556,90.4642883686362,69.59993806515546,56.05135637309551
27,89.28571428571429,67.85714285714286,53.57142857142857,90.06056166056166,69.25832315832315,55.46129426129427
28,89.65517241379311,68.96551724137932,55.172413793103445,89.65826280998695,68.88475993993237,54.82911035324828
29,90.0,70.0,53.333333333333336,89.25826280998695,69.28475993993236,54.29577701991495
30,90.32258064516128,67.74193548387096,54.83870967741935,89.63047124671152,68.9869931905527,54.494288186168056
31,87.5,65.625,53.125,89.35269346893374,68.03791911647863,54.008177075056935
32,87.87878787878788,66.66666666666666,54.54545454545454,89.07130818754845,67.79982387838338,54.20298226986214
33,85.29411764705883,67.64705882352942,55.88235294117647,88.19909723420159,67.5361321948134,54.34497009947673
34,85.71428571428571,68.57142857142857,57.14285714285714,87.34195437705874,67.25041790909913,55.106874861381506
35,86.11111111111111,66.66666666666666,58.333333333333336,86.4996604702487,67.03536414565826,55.8057995925643
36,83.78378378378379,67.56756756756756,56.75675675675676,85.75641722700547,67.42387765917178,56.532150943915646
37,84.21052631578947,68.42105263157895,57.89473684210527,85.02276491440577,67.77475485215423,57.202007403245794
38,84.61538461538461,69.23076923076923,56.41025641025641,84.88701830807095,68.0914969336022,57.30758809706178
39,82.5,70.0,55.00000000000001,84.2441611652138,68.37721121931648,56.87901666849035
40,82.92682926829268,68.29268292682927,56.09756097560976,83.60730479665011,68.702414471349,56.431862196945644
41,83.33333333333334,69.04761904761905,57.14285714285714,83.51721470656003,68.9984247673593,56.50908227416571
42,83.72093023255815,69.76744186046511,58.139534883720934,83.41929548991376,69.26770261313654,56.55804188248885
43,84.0909090909091,68.18181818181817,59.09090909090909,83.31440038501866,69.05791240334632,57.09417241861938
44,84.44444444444444,66.66666666666666,60.0,83.70328927390753,68.39124573667966,58.09417241861938
45,84.78260869565217,65.21739130434783,60.86956521739131,84.07444515937945,67.77618741218336,59.0485732669757
46,82.97872340425532,65.95744680851064,61.702127659574465,84.00352317356382,67.15815296436168,59.96042737031915
47,83.33333333333334,66.66666666666666,62.5,83.92600379371888,66.537997925602,60.832520393574974
48,83.6734693877551,67.3469387755102,63.26530612244898,83.84251585308809,66.37102204434039,61.66739979988294
49,84.0,66.0,64.0,83.75362696419919,66.23768871100705,62.46739979988295
50,84.31372549019608,66.66666666666666,64.70588235294117,83.65985032310797,66.52754378347083,63.23466322699293
51,84.61538461538461,67.3076923076923,65.38461538461539,83.98718256533382,66.79759288330716,63.97116077200111
52,84.90566037735849,67.9245283018868,66.0377358490566,84.30164797413886,67.04916521035119,64.67870794181242
53,85.18518518518519,68.51851851851852,66.66666666666666,84.60399113362487,67.28348115895285,65.35898005065596
54,83.63636363636363,69.0909090909091,65.45454545454545,84.5312638608976,67.90166297713468,65.64988914156505
55,82.14285714285714,67.85714285714286,64.28571428571429,84.09709019142981,68.13975821522993,65.56585552811968
56,82.45614035087719,68.42105263157895,63.1578947368421,83.66524133852833,68.36243028000725,65.12051139856501
57,81.03448275862068,68.96551724137932,63.793103448275865,82.89100581478075,68.57062806790574,64.67158491840888
58,81.35593220338984,69.49152542372882,64.40677966101694,82.1251552184217,68.7652294489478,64.21960751727893
59,81.66666666666667,70.0,63.33333333333333,81.7312158244823,68.94704763076598,63.7953650930365
60,80.32786885245902,70.49180327868852,62.295081967213115,81.36821816640267,69.47397971507512,63.397238629336265
