,column1,5 Game Average
0,0.5126142392663506,
1,0.6166897413695467,
2,0.14778825488167086,
3,0.1555016662121214,
4,0.19402983611009147,0.3253247475679562
5,0.05019529034461788,0.23284095778360964
6,0.2918655949167698,0.16787612849305428
7,-0.042117695553020695,0.12989493840611596
8,-0.035451193281116344,0.09170436650746841
9,0.13286082147425193,0.07947056358030051
10,0.17266803807034536,0.10396511312544601
11,0.09241999804882406,0.06407599375185687
12,-0.10245091176520793,0.05200935050941942
13,0.0553848566124584,0.07017656048813437
14,0.10259615292987867,0.06412362677925972
15,0.06465110624833859,0.04252024041485836
16,-0.020716081675880904,0.019893024469917364
17,-0.07162442742065789,0.02605832133882737
18,0.14036383054282142,0.043054116124899976
19,-0.025371812699954255,0.017460522998933393
20,-0.015103241480328045,0.0015096534532000661
21,-0.00936357796974141,0.003780154194427965
22,0.1421841623243978,0.0465418721434391
23,-0.042577096797251635,0.009953686675424489
24,0.08078338350426639,0.03118472591626862
25,-0.012636490206359152,0.0316780761710624
26,-0.009901506273322092,0.03157049051034626
27,0.0005546048101945367,0.0032445790075056103
28,0.10741777142548337,0.03324355265205261
29,0.07468294811772402,0.032023465574744135
30,0.08153088328859681,0.05085694027373533
31,0.044703655301225886,0.061777972588644925
32,-0.11536944746594191,0.03859316213341764
33,-0.17659914889050743,-0.018210221929780522
34,0.09457499531238867,-0.014231812490847595
35,0.16315134961641897,0.002092280774716837
36,-0.12663543869155802,-0.03217553802383995
37,0.07231526952085865,0.0053614053735201676
38,-0.10924617928565405,0.018831999294490843
39,0.10452989615696762,0.02082297946340663
40,-0.08269965371877985,-0.028347221203633133
41,0.06497047669804967,0.009973961874288405
42,0.0022549421285646964,-0.004038103604170384
43,0.007855808012222631,0.019382293855404954
44,-0.07814229792886618,-0.017152144961761807
45,-0.021943979804808222,-0.00500101017896748
46,0.04383381889215876,-0.009228341740145663
47,0.10913371032738306,0.01214741189961801
48,0.09402146319128457,0.0293805429354304
49,0.1063077151512104,0.06627054555144571
50,-0.009098155354324344,0.0688397104415425
51,0.12284470877880649,0.08464188841887203
52,0.0037890700518197207,0.06357296036375937
53,-0.0026102685559821204,0.04424661401430603
54,-0.10836551737605982,0.0013119675088519855
55,0.045592879894488014,0.012250174558614458
56,-0.030880643008922348,-0.01849489579893131
57,-0.03238958815743498,-0.02573062744078225
58,0.1406941849685861,0.002930263264131394
59,0.06559405631073378,0.037722178001490116
